name,job_title,academic_level,field_of_research,profile_url,university,research_portal_url
Bonnie Allan,Casual Lecturer,B,Accounting,https://rsa.anu.edu.au/people/bonnie-allan,Australian National University,
Pat Barrett,Distinguished Honorary Professor & Senior Fellow - ANCAAR,E,Accounting,https://rsa.anu.edu.au/people/pat-barrett,Australian National University,
Yue Cai,Lecturer,B,Accounting,https://rsa.anu.edu.au/people/yue-cai,Australian National University,https://researchportalplus.anu.edu.au/en/persons/yue-cai
Ian McPhee,Distinguished Honorary Professor,E,Accounting,https://rsa.anu.edu.au/people/ian-mcphee,Australian National University,
Rebecca Tan,Senior Lecturer & Masters Course Work Convenor,C,Accounting,https://rsa.anu.edu.au/people/rebecca-tan,Australian National University,https://researchportalplus.anu.edu.au/en/persons/rebecca-tan
Tracy (Kun) Wang,Professor,E,Accounting,https://rsa.anu.edu.au/people/tracy-kun-wang,Australian National University,https://researchportalplus.anu.edu.au/en/persons/tracy-wang
Keturah Whitford,Reader,D,Accounting,https://rsa.anu.edu.au/people/keturah-whitford,Australian National University,https://researchportalplus.anu.edu.au/en/persons/keturah-whitford
Mark Wilson,Professor & Deputy Director (Research),E,Accounting,https://rsa.anu.edu.au/people/mark-wilson,Australian National University,https://researchportalplus.anu.edu.au/en/persons/mark-wilson
Jean You,Lecturer,B,Accounting,https://rsa.anu.edu.au/people/jean-you,Australian National University,
Mohammed Abdullah Al Mamun,Lecturer,B,Finance,https://rsfas.anu.edu.au/people/mohammed-abdullah-al-mamun,Australian National University,https://researchportalplus.anu.edu.au/en/persons/mohammed-abdullah-al-mamun
Ding Ding,Lecturer,B,Finance,https://rsfas.anu.edu.au/people/ding-ding,Australian National University,https://researchportalplus.anu.edu.au/en/persons/ding-ding
