"researcher_id","researcher_name","academic_title","academic_level","inclusion_review_required","publication_count_in_pure_collection","abdc_ranked_publication_count","abdc_a_star_count","abdc_a_count","abdc_b_count","abdc_c_count","unranked_publication_count"
"uwa-finance-001","Chloe Ho","Senior Lecturer","C","false","14","10","3","7","0","0","4"
"uwa-finance-002","Daniel Cahill","Lecturer","B","false","17","9","3","6","0","0","8"
"uwa-finance-003","Dirk Baur","Professor","E","false","78","65","13","44","6","2","13"
"uwa-finance-004","Duc Vo","Senior Lecturer","C","true","24","24","2","18","4","0","0"
"uwa-finance-005","Elizabeth Ooi","Senior Lecturer","C","false","9","6","1","5","0","0","3"
"uwa-finance-006","Farhan Shazia","Lecturer","B","true","2","2","0","2","0","0","0"
"uwa-finance-007","Frank Liu","Associate Professor","D","false","69","53","6","38","7","2","16"
"uwa-finance-008","Gary Smith","Associate Lecturer","A","true","4","3","0","3","0","0","1"
"uwa-finance-009","Joey Yang","Associate Professor","D","false","49","38","9","28","0","1","11"
"uwa-finance-010","Kam Chan","Associate Professor","D","false","28","21","5","13","2","1","7"
"uwa-finance-011","Kevin Na","Lecturer","B","false","0","0","0","0","0","0","0"
"uwa-finance-012","Lai Hoang","Lecturer","B","false","20","17","4","13","0","0","3"
"uwa-finance-013","Lee Smales","Professor","E","false","42","37","2","29","6","0","5"
"uwa-finance-014","Mosharraf Hossain","Lecturer","B","true","10","9","1","8","0","0","1"
"uwa-finance-015","Paul Gerrans","Professor","E","false","52","40","0","25","14","1","12"
"uwa-finance-016","Raymond Da Silva Rosa","Winthrop Professor","E","false","48","26","5","19","2","0","22"
"uwa-finance-017","Rui Zhong","Associate Professor","D","false","32","18","4","14","0","0","14"
"uwa-finance-018","Russell Poskitt","Senior Lecturer","C","true","20","20","0","13","7","0","0"
"uwa-finance-019","Thao Hoang","Lecturer","B","false","0","0","0","0","0","0","0"
"uwa-finance-020","Vincent Chong","Head of Department","","true","56","42","8","17","10","7","14"
"uwa-finance-021","Yeok-Fun Mah","Lecturer","B","true","0","0","0","0","0","0","0"
"uwa-finance-022","Yihui Lan","Senior Lecturer","C","false","41","21","1","15","4","1","20"
"uwa-finance-023","Yuanji Wen","Senior Lecturer","C","false","9","8","3","5","0","0","1"
"uwa-finance-024","Zhengge Zhou","Lecturer","B","false","1","0","0","0","0","0","1"
